nombre,mandato,distrito,partido,acta,clausura,anulado,desafuero,fallece,otros,reemplazo,renuncia,reemplazo,no incorporo,vacante
"AHUMADA, RAMON C.",1926-1930,Catamarca,UNION CIVICA RADICAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"AIDAR, MIGUEL",1960-1964,Santa Cruz,UNION CIVICA RADICAL INTRANSIGENTE,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Disolución del Poder Legislativo en el período 1962/1963 por Decreto del PEN 9204/62 (Guido) que impuso la reorganización de los partidos políticos,,,,,,,,,
"ALABI, ERNESTO SALIM",1989-1993,Salta,PARTIDO RENOVADOR de SALTA,,,,,,,,,,,
"ALAGIA, RICARDO ALBERTO",1983-1987,Buenos Aires,UNION CIVICA RADICAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"ALARCIA, FERMIN",1960-1964,Córdoba,UNION CIVICA RADICAL INTRANSIGENTE,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Disolución del Poder Legislativo en el período 1962/1963 por Decreto del PEN 9204/62 (Guido) que impuso la reorganización de los partidos políticos,,,,,,,,,
"ALARCIA, MARTHA CARMEN",1999-2003,Córdoba,PARTIDO JUSTICIALISTA,,,,,,,,,,,
"ALARCIA, MARTHA CARMEN",1995-1999,Córdoba,PARTIDO JUSTICIALISTA,,,,,,,,,,,
"ALARCON, MARIA DEL CARMEN",2003-2007,Santa Fe,PARTIDO JUSTICIALISTA,,,,,,,,,,,
"ALARCON, MARIA DEL CARMEN",1999-2003,Santa Fe,ALIANZA CONCERTACION JUSTICIALISTA,,,,,,,,,,,
"ALASINO, AUGUSTO JOSE M.",1987-1991,Entre Ríos,FRENTE JUSTICIALISTA ENTRERRIANO,,,,,,,"Reemplazado por VIGNE, MARIO R.",,,,
"ALBA CARRERA, JUAN",1888-1892,Córdoba,No consignado,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial Nota girada a esta Cámara por la Legislatura provincial,,,,,,,,,,
"ALBAMONTE, ALBERTO GUSTAVO",1991-1995,Buenos Aires,UNION de CENTRO DEMOCRATICO,,,,,,,,,,,
"ALBAMONTE, ALBERTO GUSTAVO",1987-1991,Capital Federal,UNION de CENTRO DEMOCRATICO,,,,,,,,,,,
"ALBANI, EUGENIO",1924-1926,Capital Federal,PARTIDO SOCIALISTA,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,Falleció el 08/05/1924,,,,,,
"ALBARELLOS, JUAN",1952-1955,Buenos Aires,PARTIDO PERONISTA,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
