Senador,Legal Desde,Legal Hasta,Real Desde,Real Hasta,Provincia,Partido Político,Reemplazo,Observaciones
"BARRIONUEVO, WALTER B. ",10/12/2011,09/12/2017 ,10/12/2011,Sin Fecha ,JUJUY ,ALIANZA FRENTE PARA LA VICTORIA ,,NINGUNA 
"BARROS, NICOLAS  ",01/05/1880,30/04/1889 ,07/05/1881,30/04/1889 ,LA RIOJA ,SIN ESPECIFICAR ,"FUENTE, MAXIMINO DE LA  ",REEMPLAZA A ABEL BAZAN POR EXPIRACION DE MANDATO.  
"BARROS, NICOLAS  ",16/05/1889,30/04/1898 ,18/11/1895,17/08/1896 ,LA RIOJA ,SIN ESPECIFICAR ,"GARCIA, ANTONIO P.  ",COMPLETA EL PERIODO DE FRANCISCO BUSTOS. FALLECE EN 1896. LO REEMPLAZA ANTONIO GARCIA. (1896/1898).  
"BARTOLUCCI, MARIO LUIS ",29/11/1995,09/12/2001 ,03/12/1997,06/11/1998 ,SAN LUIS ,JUSTICIALISTA ,"SERGNESE, CARLOS JOSE ANTONIO ",COMPLETA EL PERIODO DE BERNARDO QUINZIO. FALLECE EL 6 DE NOVIEMBRE DE 1998. COMPLETA SU PERIODO CARLOS SERGNESE.  
"BASALDUA, JUAN CARLOS  ",22/05/1946,30/04/1949 ,20/05/1946,30/04/1949 ,ENTRE RÍOS ,SIN ESPECIFICAR ,"BASALDUA, JUAN CARLOS  ",NINGUNA 
"BASALDUA, JUAN CARLOS  ",26/04/1949,30/04/1952 ,26/04/1949,30/04/1952 ,ENTRE RÍOS ,SIN ESPECIFICAR ,"ALBARIÑO, RAMON AMANCIO  ",REELECTO.  
"BASSI, RICARDO ALBERTO  ",12/08/1963,30/04/1972 ,12/08/1963,28/06/1966 ,CIUDAD AUTÓNOMA DE BUENOS AIRES ,U. C. R. DEL PUEBLO ,DISOLUCION DEL P. LEGISLATIVO ,SE DENOMINA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES. DISOLUCION DEL PODER LEGISLATIVO EL 28 DE JUNIO DE 1966.  
"BASUALDO, ROBERTO GUSTAVO ",10/12/2005,09/12/2011 ,10/12/2005,Sin Fecha ,SAN JUAN ,ALIANZA FRENTE PRODUCCIÓN Y TRABAJO ,SENADOR EN EJERCICIO ,NINGUNA 
"BASUALDO, ROBERTO GUSTAVO ",10/12/2011,09/12/2017 ,10/12/2011,Sin Fecha ,SAN JUAN ,ALIANZA COMPROMISO FEDERAL ,,NINGUNA 
"BAUDUCCO, JOSE RAUL  ",12/08/1963,30/04/1972 ,12/08/1963,28/06/1966 ,LA PAMPA ,U.D.E.L.P.A. ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 28 DE JUNIO DE 1966.  
"BAUM, DANIEL ",29/11/1995,09/12/2001 ,29/11/1995,09/12/2001 ,NEUQUÉN ,JUSTICIALISTA ,"GALLIA, SERGIO ADRIÁN ",POR LA REFORMA CONSTITUCIONAL DE 1994 ES ELEGIDO TERCER SENADOR.  
"BAUZA, EDUARDO ",16/12/1992,09/12/2001 ,05/06/1996,09/12/2001 ,MENDOZA ,JUSTICIALISTA ,"PARDAL, JORGE ALBERTO ",COMPLETA EL PERIODO DE JOSE OCTAVIO BORDON.  
"BAVIO, ERNESTO F.  ",22/05/1946,30/04/1955 ,22/05/1946,30/04/1952 ,SALTA ,SIN ESPECIFICAR ,"XAMENA, CARLOS  ",POR LA REFORMA CONSTITUCIONAL DE 1949 LOS MANDATOS CESAN EN 1952.  
"BAYO, SERVANDO  ",03/05/1877,30/04/1886 ,09/08/1881,18/05/1884 ,SANTA FE ,SIN ESPECIFICAR ,"CELLO, GERONIMO  ",REEMPLAZA A MANUEL PIZARRO QUE RENUNCIA EL12 DE OCTUBRE DE 1880 PARA SER MINISTRO DE JUSTICIA. FALLECE EN 1884. COMPLETA EL PERIODO GERONIMO CELLO.  
"BAYOL, AUGUSTO G.  ",02/05/1958,30/04/1964 ,02/05/1958,06/09/1962 ,SANTA FE ,SIN ESPECIFICAR ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1962.  
"BAZAN, ABEL  ",24/05/1862,30/04/1871 ,30/04/1864,30/04/1871 ,LA RIOJA ,SIN ESPECIFICAR ,"BAZAN, ABEL  ",NINGUNA 
"BAZAN, ABEL  ",20/06/1871,30/04/1880 ,20/06/1871,30/04/1880 ,LA RIOJA ,SIN ESPECIFICAR ,"BARROS, NICOLAS  ",REELECTO.  
"BAZAN, EDUARDO  ",31/03/1958,30/04/1964 ,31/03/1958,06/09/1962 ,CATAMARCA ,SIN ESPECIFICAR ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1962.  
"BAZAN, MIGUEL ANGEL  ",25/04/1952,30/04/1955 ,25/04/1952,30/04/1955 ,LA RIOJA ,SIN ESPECIFICAR ,"BRIZUELA NIETO, VICENTE BERNABE  ",REEMPLAZA A RAMON ROLDAN POR EXPIRACION DE MANDATO.  
"BEASCOCHEA, RAUL ENRIQUE  ",05/07/1961,30/04/1964 ,05/07/1961,06/09/1962 ,LA PAMPA ,SIN ESPECIFICAR ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO POR DECRETO DEL PODER EJECUTIVO EL 6 DE SEPTIEMBRE DE 1962.  
"BELENGUER, EMILIO  ",03/05/1973,31/03/1977 ,03/05/1973,24/03/1976 ,RÍO NEGRO ,FREJULI ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976.  
"BENEGAS, TIBURCIO  ",01/05/1886,30/04/1895 ,01/05/1886,15/02/1887 ,MENDOZA ,SIN ESPECIFICAR ,"ORTEGA, RUFINO  ",REEMPLAZA A FRANCISCO CIVIT POR EXPIRACION DE MANDATO. RENUNCIA EN 1887. ES NOMBRADO GOBERNADOR DE LA PROVINCIA DE MENDOZA. LO REEMPLAZA RUFINO ORTEGA.  
"BENEGAS, TIBURCIO  ",06/05/1895,30/04/1904 ,06/05/1895,30/04/1904 ,MENDOZA ,SIN ESPECIFICAR ,"VILLANUEVA, ELIAS  ",REEMPLAZA A RUFINO ORTEGA POR EXPIRACION DE MANDATO.  
"BENI, JUAN CARLOS EDUARDO  ",03/05/1973,31/03/1977 ,03/05/1973,24/03/1976 ,SANTA CRUZ ,FREJULI ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976.  
"BENITEZ, ALFREDO L. ",21/12/1983,09/12/1992 ,21/12/1983,09/12/1992 ,JUJUY ,JUSTICIALISTA ,"CABANA, FERNANDO V. ",NINGUNA 
"BENITEZ, APOLINARIO  ",01/08/1871,30/04/1880 ,01/08/1871,15/05/1875 ,ENTRE RÍOS ,SIN ESPECIFICAR ,"ECHAGÜE, LEONIDAS  ",REEMPLAZA A ANGEL ELIAS POR EXPIRACION DE MANDATO. RENUNCIA EN 1875. LO REEMPLAZA LEONIDAS ECHAGUE. (1875/1880).  
"BERHONGARAY, ANTONIO TOMAS ",29/11/1983,09/12/1989 ,29/11/1983,09/12/1989 ,LA PAMPA ,UNIÓN CÍVICA RADICAL ,"MARÍN, RUBÉN HUGO ",LO REEMPLAZA RUBEN HUGO MARIN.  
"BERHONGARAY, ANTONIO TOMAS ",29/11/1995,09/12/2001 ,29/11/1995,15/12/1999 ,LA PAMPA ,UNIÓN CÍVICA RADICAL ,"ROSTAN, NESTOR DANIEL ",POR LA REFORMA CONSTITUCIONAL DE 1994 FUE ELEGIDO TERCER SENADOR.  
"BERMEJO, NORMA NÉLIDA ",10/12/2001,09/12/2003 ,20/08/2003,Sin Fecha ,CÓRDOBA ,LABORISTA ,"GIRI, HAIDE DELIA ",NINGUNA 
"BERMEJO, ROLANDO ADOLFO ",10/12/2009,09/12/2015 ,10/12/2009,Sin Fecha ,MENDOZA ,ALIANZA FRENTE PARA LA VICTORIA ,,NINGUNA 
"BERNARDO, MIGUEL ANGEL  ",11/12/1963,30/04/1966 ,11/12/1963,30/04/1966 ,SAN LUIS ,U. C. R. INTRANSIGENTE ,"TELLO CORNEJO, EDMUNDO DEL CARMEN  ",NINGUNA 
"BERTIN, ALFREDO FELIPE  ",31/03/1958,30/04/1964 ,31/03/1958,06/09/1962 ,SAN LUIS ,SIN ESPECIFICAR ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1962.  
"BERTORA, JOSE MARIA ANTONIO  ",31/03/1958,30/04/1967 ,31/03/1958,06/09/1962 ,ENTRE RÍOS ,SIN ESPECIFICAR ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIUVO EL 6 DE SEPTIEMBRE DE 1962.  
"BIAIN, PABLO  ",31/03/1958,30/04/1964 ,31/03/1958,06/09/1962 ,CHACO ,SIN ESPECIFICAR ,DISOLUCION DEL P. LEGISLATIVO ,DE 1953 A1955 CHACO SE LLAMO PRESIDENTE PERON. DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1962  
"BIANCALANI, FABIO DARIO ",10/12/2007,09/12/2013 ,10/12/2007,Sin Fecha ,CHACO ,ALIANZA FRENTE JUST. CHACO MERECE MÁS ,SENADOR EN EJERCICIO ,NINGUNA 
"BITTEL, DEOLINDO FELIPE ",29/11/1983,09/12/1989 ,29/11/1983,10/02/1987 ,CHACO ,JUSTICIALISTA ,"TENEV, CARLOS ",RENUNCIO EL 10 DE FEBRERO DE 1987. LO REEMPLAZA CARLOS TENEV.  
"BITTEL, DEOLINDO FELIPE ",06/12/1989,09/12/1998 ,06/12/1989,22/09/1997 ,CHACO ,JUSTICIALISTA ,"SAGER, HUGO ABEL ",FALLECE EL 22 DE SEPTIEMBRE DE 1997. LO REEMPLAZA HUGO SAGER.  
"BLANCO, EUFEMIO RODOLFO  ",03/05/1973,30/03/1977 ,03/05/1973,24/03/1976 ,LA RIOJA ,FREJULI ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976.  
"BLANCO, EUSEBIO  ",24/05/1862,30/04/1865 ,21/05/1864,30/04/1865 ,MENDOZA ,SIN ESPECIFICAR ,"BLANCO, EUSEBIO  ",COMPLETA EL PERIODO DE JUAN PALMA ( 1862-1865 )  
"BLANCO, EUSEBIO  ",01/05/1865,30/04/1874 ,28/04/1866,30/04/1874 ,MENDOZA ,SIN ESPECIFICAR ,"VILLANUEVA, ARISTIDES  ",REELECTO.  
"BLANCO, RAMON  ",26/04/1955,30/04/1961 ,26/04/1955,26/04/1955 ,SANTIAGO DEL ESTERO ,SIN ESPECIFICAR ,RENUNCIO ANTES DE ASUMIR ,RENUNCIO EL 26 DE ABRIL DE 1955. DISOLUCION DEL PODER LEGISLATIVO EL 21 DE SEPTIEMBRE DE 1955.  
"BLANCO, RUBEN VICTOR M.  ",12/08/1963,30/04/1969 ,12/08/1963,28/06/1966 ,BUENOS AIRES ,U. C. R. DEL PUEBLO ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 28 DE JUNIO DE 1966.  
"BLAS, INES I. ",10/12/2011,09/12/2015 ,10/12/2011,Sin Fecha ,CATAMARCA ,FRENTE PARA LA VICTORIA ,"CORPACCI, LUCIA BENIGNA ",NINGUNA 
"BONGIORNO, MARIA JOSE ",10/12/2007,09/12/2013 ,10/12/2007,Sin Fecha ,RÍO NEGRO ,ALIANZA FRENTE PARA LA VICTORIA ,SENADORA EN EJERCICIO ,NINGUNA 
"BORDON, JOSE OCTAVIO ",16/12/1992,09/12/2001 ,16/12/1992,21/02/1996 ,MENDOZA ,JUSTICIALISTA ,"BAUZA, EDUARDO ",REEMPLAZA A MALHARRO DE TORRES POR EXPIRACION DE MANDATO. RENUNCIA EN 1996. LO REEMPLAZA EDUARDO BAUZA.  
"BORELLA, ALBERTO OMAR  ",31/03/1958,30/04/1964 ,12/04/1962,06/09/1962 ,SANTA FE ,SIN ESPECIFICAR ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1962.  
"BORELLO, MARTA ",10/12/2011,09/12/2015 ,10/12/2011,Sin Fecha ,CÓRDOBA ,UNIÓN CÍVICA RADICAL ,"MESTRE, RAMON JAVIER ",NINGUNA 
"BORGES, JUAN FRANCISCO  ",11/05/1860,30/04/1869 ,24/05/1860,12/12/1861 ,SANTIAGO DEL ESTERO ,SIN ESPECIFICAR ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL CONGRESO DE PARANA EL 12 DE DICIEMBRE DE 1861.  
"BORGES, JUAN FRANCISCO  ",24/05/1862,30/04/1868 ,24/05/1862,30/04/1868 ,SANTIAGO DEL ESTERO ,SIN ESPECIFICAR ,"BORGES, JUAN FRANCISCO  ",COMPLETA EL PERIODO DE ANTONIO TABOADA QUE NO SE INCORPORA.  
"BORGES, JUAN FRANCISCO  ",23/05/1868,30/04/1874 ,23/05/1868,30/04/1874 ,SANTIAGO DEL ESTERO ,SIN ESPECIFICAR ,"FRIAS, LUIS  ",REELECTO.  
"BORJA CORREA, FRANCISCO DE  ",24/05/1862,30/04/1868 ,30/04/1863,30/04/1868 ,MENDOZA ,SIN ESPECIFICAR ,"CORVALAN, FEDERICO  ",NINGUNA 
"BORTOLOZZI, ADRIANA RAQUEL ",10/12/2005,09/12/2011 ,10/12/2005,Sin Fecha ,FORMOSA ,ALIANZA FRENTE PARA LA VICTORIA ,SENADORA EN EJERCICIO ,NINGUNA 
"BRANDA, RICARDO ALBERTO ",02/12/1992,09/12/2001 ,02/12/1992,09/12/2001 ,FORMOSA ,JUSTICIALISTA ,"MAYANS, JOSÉ MIGUEL ÁNGEL ",REEMPLAZA A ROGELIO NIEVES POR EXPIRACION DE MANDATO.  
"BRASESCO, LUIS A. J. ",29/11/1983,09/12/1992 ,29/11/1983,09/12/1992 ,ENTRE RÍOS ,UNIÓN CÍVICA RADICAL ,"ALASINO, AUGUSTO ",NINGUNA 
"BRAVO HERRERA, HORACIO F. ",29/11/1983,09/12/1992 ,29/11/1983,09/12/1992 ,SALTA ,JUSTICIALISTA ,"ROMERO, JUAN CARLOS ",NINGUNA 
"BRAVO, FEDERICO SATURNINO  ",26/04/1966,30/04/1975 ,26/04/1966,28/06/1966 ,SAN JUAN ,BLOQUISTA DE SAN JUAN ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 28 DE JUNIO DE 1966.  
"BRAVO, LEOPOLDO ",03/05/1973,30/03/1977 ,03/05/1973,24/03/1976 ,SAN JUAN ,ALIANZA REPUBLICANA FEDERAL ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976.  
"BRAVO, LEOPOLDO ",28/11/1986,09/12/1995 ,28/11/1986,09/12/1995 ,SAN JUAN ,BLOQUISTA DE SAN JUAN ,"BRAVO, LEOPOLDO ",REEMPLAZA A GOMEZ CENTURION POR EXPIRACION DE MANDATO.  
"BRAVO, LEOPOLDO ",29/11/1995,09/12/2001 ,29/11/1995,09/12/2001 ,SAN JUAN ,BLOQUISTA DE SAN JUAN ,"GIOJA, JOSÉ LUIS ",REELECTO.  
"BRAVO, MARIO  ",20/03/1923,30/04/1931 ,20/03/1923,06/09/1930 ,CIUDAD AUTÓNOMA DE BUENOS AIRES ,SOCIALISTA ,DISOLUCION DEL P. LEGISLATIVO ,SE DENOMINA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES. COMPLETA EL PERIODO DE TOMAS LE BRETON. DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1930.  
"BRAVO, MARIO  ",20/01/1932,30/04/1938 ,20/01/1932,30/04/1938 ,CIUDAD AUTÓNOMA DE BUENOS AIRES ,SOCIALISTA ,"SAGUIER, FERNANDO  ",SE DENOMINA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES.  
"BRISOLI, BLAS  ",11/06/1952,30/04/1958 ,11/06/1952,21/09/1955 ,MENDOZA ,SIN ESPECIFICAR ,DISOLUCION DEL P. LEGISLATIVO ,REEMPLAZA A LORENZO SOLER POR EXPIRACION DE MANDATO. DISOLUCION DEL PODER LEGISLATIVO EL 21 DE SEPTIEMBRE DE 1955.  
"BRITOS, ORALDO NORVEL ",03/05/1973,30/03/1977 ,03/05/1973,24/03/1976 ,SAN LUIS ,FREJULI ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976.  
"BRITOS, ORALDO NORVEL ",29/11/1983,09/12/1986 ,29/11/1983,09/12/1986 ,SAN LUIS ,JUSTICIALISTA ,"BRITOS, ORALDO NORVEL ",NINGUNA 
"BRITOS, ORALDO NORVEL ",17/12/1986,09/12/1995 ,17/12/1986,09/12/1995 ,SAN LUIS ,JUSTICIALISTA ,"QUINZIO, BERNARDO PASCUAL ",REELECTO.  
"BRIZUELA DEL MORAL, EDUARDO SEGUNDO ",10/12/2001,09/12/2003 ,10/12/2001,Sin Fecha ,CATAMARCA ,FRENTE CÍVICO Y SOCIAL DE CATAMARCA ,"CASTILLO, OSCAR ANÍBAL ",NINGUNA 
"BRIZUELA NIETO, VICENTE BERNABE  ",26/04/1955,30/04/1961 ,26/04/1955,21/09/1955 ,LA RIOJA ,PERONISTA ,DISOLUCION DEL P. LEGISLATIVO ,REEMPLAZA A MIGUEL BAZAN POR EXPIRACION DE MANDATO. DISOLUCION DEL PODER LEGISLATIVO EL 21 DE SEPTIEMBRE DE 1955.  
"BRIZUELA, GUILLERMO RAMON  ",03/05/1973,30/03/1977 ,03/05/1973,24/03/1976 ,CATAMARCA ,AL. POP. FEDERALISTA-CATAMARCA ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976.  
"BRIZUELA, HUGO GENARO  ",03/05/1973,30/03/1977 ,03/05/1973,24/03/1976 ,JUJUY ,FREJULI ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976.  
"BRUCHMANN, CARLOS A.  ",20/01/1932,30/04/1938 ,20/01/1932,30/04/1938 ,SANTIAGO DEL ESTERO ,SOCIALISTA ,"CASTRO, JUAN B.  ",NINGUNA 
"BRUNELLO, DUILIO ANTONIO RAFAEL  ",26/04/1955,30/04/1961 ,26/04/1955,21/09/1955 ,CATAMARCA ,SIN ESPECIFICAR ,DISOLUCION DEL P. LEGISLATIVO ,REEMPLAZA A RODOLFO ANGULO POR EXPIRACION DE MANDATO. DISOLUCION DEL PODER LEGISLATIVO EL 21 DE SEPTIEMBRE DE 1955.  
"BULLO, JUAN M.  ",26/06/1922,30/04/1931 ,26/06/1922,15/12/1922 ,SANTA FE ,SIN ESPECIFICAR ,"ANTILLE, ARMANDO G.  ",FALLECE EN 1922. LO REEMPLAZA ARMANDO ANTILLE. (1924/1930).  
"BUSQUET, ALFREDO  ",03/07/1946,30/04/1949 ,03/07/1946,30/04/1949 ,BUENOS AIRES ,SIN ESPECIFICAR ,"SCATAMACCHIA, MAURICIO ANTONIO  ",NINGUNA 
"BUSSI, RICARDO ARGENTINO ",10/12/2003,09/12/2009 ,10/12/2003,07/11/2007 ,TUCUMÁN ,FUERZA REPUBLICANA ,"SALAZAR, CARLOS EDUARDO ",Sdor. Bussi renuncia para asumir otro cargo político en su provincia.  
"BUSTI, JORGE PEDRO ",10/12/2001,09/12/2007 ,10/12/2001,04/12/2003 ,ENTRE RÍOS ,JUSTICIALISTA ,"MARTÍNEZ PASS DE CRESTO, LAURA ",REEMPLAZA AL SENADOR ALASINO POR EXPIRACION DE MANDATO.  
"BUSTOS, FRANCISCO V.  ",16/05/1889,30/04/1898 ,16/05/1889,30/03/1895 ,LA RIOJA ,SIN ESPECIFICAR ,"BARROS, NICOLAS  ",REEMPLAZA A DOMINGO DAVILA POR EXPIRACION DE MANDATO. RENUNCIA EN 1895. LO REEMPLAZA NICOLAS BARROS (1895/1896).  
"CABALLERO, RICARDO  ",03/07/1919,30/04/1928 ,03/07/1919,30/04/1928 ,SANTA FE ,UNIÓN CÍVICA RADICAL ,"PAZ, ALBERTO J.  ",REEMPLAZA A PEDRO ECHAGUE POR EXPIRACION DE MANDATO.  
"CABALLERO, RICARDO  ",30/04/1935,30/04/1944 ,08/07/1937,05/06/1943 ,SANTA FE ,UNIÓN CÍVICA RADICAL ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 5 DE JUNIO DE 1943.  
"CABANA, FERNANDO V. ",02/12/1992,09/12/2001 ,02/12/1992,09/12/2001 ,JUJUY ,JUSTICIALISTA ,"ARANCIO DE BELLER, LYLIA MÓNICA ",REEMPLAZA A ALFREDO BENITEZ POR EXPIRACION DE MANDATO.  
"CABANCHIK, SAMUEL MANUEL ",10/12/2007,09/12/2013 ,10/12/2007,Sin Fecha ,CIUDAD AUTÓNOMA DE BUENOS AIRES ,ALIANZA COALICIÓN CÍVICA ,SENADOR EN EJERCICIO ,NINGUNA 
"CABRAL, SALVADOR ",10/12/2011,09/12/2017 ,10/12/2011,Sin Fecha ,MISIONES ,FRENTE RENOVADOR DE LA CONCORDIA ,,NINGUNA 
"CACERES, RUBEN OSVALDO  ",03/05/1973,31/03/1977 ,03/05/1973,24/03/1976 ,FORMOSA ,UNIÓN CÍVICA RADICAL ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976.  
"CAFIERO, ANTONIO FRANCISCO ",02/12/1992,09/12/2001 ,02/12/1992,09/12/2001 ,BUENOS AIRES ,JUSTICIALISTA ,"DUHALDE, EDUARDO ALBERTO ",REEMPLAZA A ADOLFO GASS POR EXPIRACION DE MANDATO.  
"CAFIERO, ANTONIO FRANCISCO ",10/12/2001,09/12/2005 ,04/01/2002,09/12/2005 ,BUENOS AIRES ,JUSTICIALISTA ,SENADOR EN EJERCICIO ,ASUME EL 4 DE ENERO DE 2002 AL SER SUPLENTE DEL RENUNCIANTE SENADOR EDUARDO DUHALDE QUE ASUME LA PRESIDENCIA DE LA NACIÓN.  
"CALCAGNO Y MAILLMANN, ERIC ",10/12/2007,09/12/2011 ,10/12/2007,09/12/2011 ,BUENOS AIRES ,FRENTE PARA LA VICTORIA ,SENADOR EN EJERCICIO ,NINGUNA 
"CALDERON, SEGUNDO ROSA  ",31/03/1958,30/04/1964 ,30/03/1958,06/09/1962 ,LA RIOJA ,SIN ESPECIFICAR ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1962.  
"CALVIÑO DE GOMEZ, MARIA ROSA  ",25/04/1952,30/04/1955 ,25/04/1952,30/04/1955 ,CIUDAD AUTÓNOMA DE BUENOS AIRES ,PERONISTA ,"CALVIÑO DE GOMEZ, MARIA ROSA  ",SE DENOMINA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES.  
"CALVIÑO DE GOMEZ, MARIA ROSA  ",26/04/1955,30/04/1961 ,26/04/1955,21/09/1955 ,CIUDAD AUTÓNOMA DE BUENOS AIRES ,PERONISTA ,DISOLUCION DEL P. LEGISLATIVO ,SE DENOMINA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES. REELECTA. DISOLUCION DEL PODER LEGISLATIVO EL 21 DE SEPTIEMBRE DE 1955.  
"CALVO, NICOLAS ANTONIO  ",12/05/1857,30/04/1860 ,09/06/1859,30/04/1860 ,CORRIENTES ,SIN ESPECIFICAR ,"CALVO, NICOLAS ANTONIO  ",FEDERALIZACION DE ENTRE RIOS Y CAPITALIZACION DE PARANA. COMPLETA EL PERIODO DE FACUNDO DE ZUVIRIA.  
"CALVO, NICOLAS ANTONIO  ",11/05/1860,30/04/1869 ,11/05/1860,12/12/1861 ,CORRIENTES ,SIN ESPECIFICAR ,DISOLUCION DEL P. LEGISLATIVO ,REELECTO. EL 12 DE DICIEMBRE DE 1861 DISOLUCION DEL PODER LEGISLATIVO NACIONAL. BARTOLOME MITRE EN SU CARACTER DE GOBERNADOR DE LA PROVINCIA DE BUENOS AIRES ASUME EN REPRESENTACION DE LAS PROVINCIAS EL P.E.N.  
"CAMBACERES, ANTONINO C.  ",04/05/1882,30/04/1886 ,04/05/1882,30/04/1886 ,CIUDAD AUTÓNOMA DE BUENOS AIRES ,SIN ESPECIFICAR ,"CAMBACERES, ANTONINO C.  ",SE DENOMINA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES.  
"CAMBACERES, ANTONINO C.  ",05/05/1886,30/04/1895 ,05/05/1886,27/11/1888 ,CIUDAD AUTÓNOMA DE BUENOS AIRES ,SIN ESPECIFICAR ,"ZAVALIA, SALUSTIANO J.  ",SE DENOMINA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES. REELECTO. FALLECE EN 1888. LO REEMPLAZA SALUSTIANO ZAVALIA. (1889/1890).  
"CAMPILLO, CLETO DEL  ",12/05/1857,30/04/1866 ,03/08/1858,12/12/1861 ,CÓRDOBA ,SIN ESPECIFICAR ,DISOLUCION DEL P. LEGISLATIVO ,COMPLETA EL PERIODO DE MARIANO FRAGUEIRO. EL 12 DE DICIEMBRE DE 1861 DISOLUCION DEL CONGRESO DE PARANA.  
"CAMPILLO, DONACIANO DEL  ",08/06/1901,30/04/1910 ,08/06/1901,30/04/1910 ,CÓRDOBA ,SIN ESPECIFICAR ,"POSSE, JUSTINIANO  ",REEMPLAZA A CALIXTO DE LA TORRE POR EXPIRACION DE MANDATO.  
"CAMPO, JOSE MARIA DEL  ",30/04/1862,30/04/1868 ,30/04/1864,12/05/1866 ,TUCUMÁN ,SIN ESPECIFICAR ,"POSSE, MANUEL  ",COMPLETA EL PERIODO DE AGUSTIN JUSTO DE LA VEGA. RENUNCIA EN 1866. LO REEMPLAZA MANUEL POSSE.  
"CAMPORA, PEDRO LINDOLFO  ",03/05/1973,31/03/1977 ,03/05/1973,24/03/1976 ,MENDOZA ,FREJULI ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976.  
"CAMPOS, RUDECINDO S.  ",01/05/1922,30/04/1931 ,05/09/1927,06/09/1930 ,JUJUY ,POPULAR DE JUJUY ,DISOLUCION DEL P. LEGISLATIVO ,COMPLETA DEL PERIODO DE CARLOS ZABALA. DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1930.  
"CAMPOS, RUDECINDO S.  ",20/01/1932,30/04/1938 ,20/01/1932,30/04/1938 ,JUJUY ,POPULAR DE JUJUY ,"ARRIETA, HERMINIO  ",NINGUNA 
"CANE, MIGUEL  ",15/11/1898,30/04/1904 ,15/11/1898,30/04/1904 ,CIUDAD AUTÓNOMA DE BUENOS AIRES ,SIN ESPECIFICAR ,"VILLANUEVA, BENITO  ",SE DENOMINA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES. COMPLETA EL PERIODO DE BERNARDO DE IRIGOYEN ( 1895/1904 ).  
